Frame,X1,Y1,,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38
Tracks 1 to 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,85.828766,217.5274,1,475.27118,206.45763,-1,556.375,217.375,-1, , ,-1,574.91956,343.66083,-1,130.23027,332.7829,-1,165.65237,300.91904,-1,551.61816,542.5273,-1,251.11476,541.2295,-1,566.2826,561.1329,-1,220.93478,575.2029,-1,586.025,288.59167,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,89.15741,219.00462,1,475.148,206.308,-1,534.2647,217.16667,-1, , ,-1,580.7593,347.6037,-1,114.63198,340.08884,-1,151.24101,304.56476,-1,552.8488,540.8023,-1,260.14655,543.1724,-1,560.29095,561.9407,-1,222.63939,570.9,-1,594.1504,290.99594,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,89.15741,219.00462,3,475.148,206.308,-1,534.2647,217.16667,-1, , ,-1,580.7593,347.6037,-1,114.63198,340.08884,-1,151.24101,304.56476,-1,552.8488,540.8023,-1,260.14655,543.1724,-1,560.29095,561.9407,-1,222.63939,570.9,-1,594.1504,290.99594,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,93.38426,218.87038,1,475.16666,206.26984,-1,510.9565,217.80435,-1, , ,-1,589.6462,343.73077,-1,100.62834,347.87967,-1,139.19444,307.09027,-1,555.6022,561.7527,-1,265.85715,545.1905,-1,576.6982,540.2748,-1,223.16072,565.1548,-1,604.95966,294.07257, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,94.56867,218.62018,1,475.15115,205.92636,-1,499.2647,218.16667,-1, , ,-1,593.83844,339.55383,-1,94.06684,351.23264,-1,133.33444,307.57285,-1,553.31537,561.92053,-1,270.1518,547.0268,-1,579.4909,542.3182,-1,223.625,562.08154,-1,609.96295,296.7037, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,94.56867,218.62018,1,475.15115,205.92636,-1,499.2647,218.16667,-1, , ,-1,593.83844,339.55383,-1,94.06684,351.23264,-1,133.33444,307.57285,-1,553.31537,561.92053,-1,270.1518,547.0268,-1,579.4909,542.3182,-1,223.625,562.08154,-1,609.96295,296.7037, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,95.578835,218.8029,1,480.14178,210.301,-1, , ,-1, , ,-1,597.6626,335.57318,-1,88.09341,354.43958,-1,128.42361,308.2361,-1,551.9901,562.03467,-1,270.75757,549.2121,-1,582.94116,545.9314,-1,223.53609,559.69073,-1,611.3416,299.81683, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,100.20995,218.99783,1,475.22318,209.63559,-1, , ,-1, , ,-1,605.06555,328.63113,-1,81.14865,361.28378,-1,119.5137,309.06848,-1,547.66833,562.21783,-1,274.11487,555.2027,-1,584.39746,552.05554,-1,224.93784,552.55945,-1,607.5537,307.1443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,100.20995,218.99783,1,475.22318,209.63559,-1, , ,-1, , ,-1,605.06555,328.63113,-1,81.14865,361.28378,-1,119.5137,309.06848,-1,547.66833,562.21783,-1,274.11487,555.2027,-1,584.39746,552.05554,-1,224.93784,552.55945,-1,607.5537,307.1443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,84.781555,216.89806,1,472.38602,209.37047,-1, , ,-1, , ,-1,609.7838,319.7072,-1,93.689026,360.9695,-1,112.1,309.43848,-1,537.1747,565.49396,-1,278.578,563.79785,-1,586.61206,556.5086,-1,224.925,546.8063,-1, , , ,122.83945,220.79358,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,84.781555,216.89806,1,472.38602,209.37047,-1, , ,-1, , ,-1,609.7838,319.7072,-1,93.689026,360.9695,-1,112.1,309.43848,-1,537.1747,565.49396,-1,278.578,563.79785,-1,586.61206,556.5086,-1,224.925,546.8063,-1, , , ,122.83945,220.79358,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,84.21429,216.45238,1,475.09525,206,-1, , ,-1, , ,-1,609.096,315.28,-1,108.61801,358.8851,-1,104.5,314.9,-1,533.1162,574.96484,-1,282.03732,573.15674,-1,587.85455,562.0182,-1,225.65286,542.57007,-1, , , ,127.94348,221.16957,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,83.42523,216.55608,1,474.82,208.54,-1, , ,-1, , ,-1,608.56085,311.58365,-1,112.17027,354.47296,-1,103.96745,317.23373,-1,533.1162,574.96484,-1,282.03732,573.15674,-1,588.22,563.31,-1,225.78572,541.1429,-1, , , ,131.00926,221.7037,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,83.42523,216.55608,1,474.82,208.54,-1, , ,-1, , ,-1,608.56085,311.58365,-1,112.17027,354.47296,-1,103.96745,317.23373,-1,532.43365,577.6659,-1,284.59015,577.418,-1,588.64703,565.6863,-1,226.33846,540.04614,-1, , , ,131.00926,221.7037,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,82.96364,216.59091,1,475.1569,207.82635,-1, , ,-1, , ,-1,607.8605,308.9341,-1,114.857544,351.03632,-1,103.124275,321.07803,-1,531.6211,580.509,-1,286.562,580.39923,-1,588.58044,569.569,-1,228.5979,538.37415,-1, , , ,134.75233,221.75233,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,82.692986,216.23685,1,475.46326,206.4102,-1, , ,-1, , ,-1,607.3333,319.00833,-1,108,336.3919,-1, , ,-1,529.92566,588.0846,-1,291,588.3889,-1,585.7449,573.66327,-1,234.34277,538.3868,-1, , , ,137.7,221.24167,*,600.96906,291.23453, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,82.692986,216.23685,1,475.46326,206.4102,-1, , ,-1, , ,-1,607.3333,319.00833,-1,108,336.3919,-1, , ,-1,529.9021,588.7381,-1,291,588.3889,-1,585.7449,573.66327,-1,234.34277,538.3868,-1, , , ,137.7,221.24167,*,600.96906,291.23453, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,82.73077,215.65384,1,478.3243,202.44595,-1, , ,-1, , ,-1,606.13116,319.55737,-1,106.80592,339.5296,-1, , ,-1,530.0728,593.8641,-1,292.34683,596.8333,-1,582.87,578.96,-1,241.18073,537.25903,-1, , , ,142.12791,218.63179,*,586.8905,288.68094, ,467.56595,204.96153,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,82.0914,215.8871,2,477.52097,200.2902,-1, , ,-1, , ,-1,606.33203,319.0267,-1,107.10245,343.7691,-1, , ,-1,530.1,595.94,-1,290.71704,601.469,-1,581.7692,581.11536,-1,242.71715,537.1343,-1, , , ,143.98485,217.04546,*,577.28503,288.43457, ,466.87112,203.24226,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,82.0914,215.8871,2,477.52097,200.2902,-1, , ,-1, , ,-1,606.6129,318.8145,-1,107.10245,343.7691,-1, , ,-1,530.1219,595.95276,-1,290.71704,601.469,-1,581.7647,581.0098,-1,242.71715,537.1343,-1, , , ,143.98485,217.04546,*,577.28503,288.43457, ,466.87112,203.24226,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,82.73158,216.07895,2,476.97482,199.50719,-1, , ,-1, , ,-1,606.4077,318.4923,-1,108.98308,345.6169,-1, , ,-1,530.34875,598.0463,-1,289.2623,606.1721,-1,580.8571,582.7041,-1,244.93243,536.8622,-1, , , ,145.91936,215.87903,*,570.21173,287.72522, ,466.5,201.55154,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33,83.552635,216.8579,2,475.49277,196.31885,-1, , ,-1, , ,-1,606.4297,317.82812,-1,103.0847,337.43442,-1, , ,-1,530.63196,603.0482,-1,287.29688,614.52344,-1,576.8826,587.16956,-1,250.50595,536.1548,-1, , , ,149.05475,214.39781,*,553.836,288.676, ,465.55884,198.45097,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
34,83.552635,216.8579,2,475.49277,196.31885,-1, , ,-1, , ,-1,606.4297,317.82812,-1,103.0847,337.43442,-1, , ,-1,530.63196,603.0482,-1,287.29688,614.52344,-1,576.8826,587.16956,-1,250.50595,536.1548,-1, , , ,149.05475,214.39781,*,553.836,288.676, ,465.55884,198.45097,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35,84.13441,217.3172,2,474.23758,194.00354,-1, , ,-1, , ,-1,607.2436,316.81625,-1,106.85667,344.34332,-1, , ,-1,530.8204,606.82526,-1,282.74,623.356,-1,574.64703,590.902,-1,255.22946,538.36957,-1, , , ,151.21428,213.40475, ,538.9167,288.85834, ,465.8153,199.36487,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
